	token	golden_pos	pymorphy_pred	mystem_pred
0	Вчера		ADVB	ADV
1	был		VERB	V
2	очень		ADVB	ADV
3	необычный		ADJF	A
4	день		NOUN	S
5	Сначала		ADVB	ADV
6	я		NPRO	SPRO
7	услышал		VERB	V
8	странный		ADJF	A
9	разговор		NOUN	S
10	Один		ADJF	APRO
11	говорил		VERB	V
12	другому		ADJF	APRO
13	Это		PRCL	SPRO
14	невозможно		ADVB	A
15	Эти		ADJF	APRO
16	типы		NOUN	S
17	стали		VERB	V
18	есть		INTJ	V
19	на		PREP	PR
20	складе		NOUN	S
21	Мало		ADVB	ADV
22	того		ADJF	SPRO
23	что		CONJ	CONJ
24	после		PREP	PR
25	них		NPRO	SPRO
26	образовалась		VERB	V
27	течь		NOUN	V
28	так		CONJ	ADVPRO
29	мне		NPRO	SPRO
30	потом		ADVB	ADVPRO
31	пришлось		VERB	V
32	и		CONJ	CONJ
33	печь		INFN	S
34	чистить		INFN	V
35	Этот		ADJF	APRO
36	разговор		NOUN	S
37	я		NPRO	SPRO
38	слышал		VERB	V
39	пока		ADVB	CONJ
40	шел		VERB	V
41	дорогой		ADVB	A
42	домой		ADVB	ADV
43	видимо		ADVB	ADV
44	они		NPRO	SPRO
45	работают		VERB	V
46	на		PREP	PR
47	заводе		NOUN	S
48	у		PREP	PR
49	одного		ADJF	APRO
50	из		PREP	PR
51	них		NPRO	SPRO
52	была		VERB	V
53	в		PREP	PR
54	руках		NOUN	S
55	пила		NOUN	V
56	Потом		ADVB	ADVPRO
57	когда		CONJ	CONJ
58	я		NPRO	SPRO
59	проходил		VERB	V
60	мимо		ADVB	PR
61	парка		NOUN	S
62	я		NPRO	SPRO
63	увидел		VERB	V
64	что		CONJ	CONJ
65	от		PREP	PR
66	него		NPRO	SPRO
67	остались		VERB	V
68	только		PRCL	PART
69	пни		VERB	S
70	а		CONJ	CONJ
71	вокруг		ADVB	PR
72	них		NPRO	SPRO
73	жгут		VERB	V
74	траву		NOUN	S
75	Видимо		ADVB	ADV
76	это		PRCL	SPRO
77	они		NPRO	SPRO
78	спугнули		VERB	V
79	целый		ADJF	A
80	рой		NOUN	S
81	пчел		NOUN	S
82	и		CONJ	CONJ
83	он		NPRO	SPRO
84	полетел		VERB	V
85	за		PREP	PR
86	мной		NPRO	SPRO
87	Было		VERB	V
88	страшно		ADVB	ADV
89	как		CONJ	ADVPRO
90	будто		CONJ	PART
91	бы		PRCL	PART
92	к		PREP	PR
93	виску		NOUN	S
94	приставили		VERB	V
95	дуло		VERB	S
96	пистолета		NOUN	S
97	В		PREP	PR
98	общем		ADJF	A
99	день		NOUN	S
100	был		VERB	V
101	такой		ADJF	APRO
102	неординарный		ADJF	A
103	что		CONJ	CONJ
104	я		NPRO	SPRO
105	даже		PRCL	PART
106	решил		VERB	V
107	стих		VERB	S
108	о		PREP	PR
109	нем		ADJS	SPRO
110	сочинить		INFN	V
