	token	golden_pos	pymorphy_pred	mystem_pred	natasha_pred	rnnmorph_pred
0	Вчера	ADV	ADV	ADV	ADV	ADV
1	был	V	V	V	V	V
2	очень	ADV	ADV	ADV	ADV	ADV
3	необычный	ADJ	A	A	A	A
4	день	N	N	N	N	N
5	Сначала	ADV	ADV	ADV	ADV	ADV
6	я	PRO	PRO	PRO	PRO	PRO
7	услышал	V	V	V	V	V
8	странный	ADJ	A	A	A	A
9	разговор	N	N	N	N	N
10	Один	PRO	A	PRO	NUM	NUM
11	говорил	V	V	V	V	V
12	другому	PRO	A	PRO	A	PRO
13	Это	PRO	PRCL	PRO	PRO	PRO
14	невозможно	ADV	ADV	A	A	ADV
15	Эти	PRO	A	PRO	PRO	PRO
16	типы	N	N	N	N	N
17	стали	V	V	V	V	V
18	есть	V	INTJ	V	V	V
19	на	PREP	PREP	PREP	PREP	PREP
20	складе	N	N	N	N	N
21	Мало	ADV	ADV	ADV	N	PRCL
22	того	PRO	A	PRO	PRO	PRO
23	что	CONJ	CONJ	CONJ	CONJ	CONJ
24	после	PREP	PREP	PREP	PREP	PREP
25	них	PRO	PRO	PRO	PRO	PRO
26	образовалась	V	V	V	V	V
27	течь	N	N	V	N	V
28	так	CONJ	CONJ	ADV	ADV	ADV
29	мне	PRO	PRO	PRO	PRO	PRO
30	потом	ADV	ADV	ADV	ADV	ADV
31	пришлось	V	V	V	V	V
32	и	CONJ	CONJ	CONJ	PRCL	CONJ
33	печь	N	V	N	N	V
34	чистить	V	V	V	V	V
35	Этот	PRO	A	PRO	PRO	PRO
36	разговор	N	N	N	N	N
37	я	PRO	PRO	PRO	PRO	PRO
38	слышал	V	V	V	V	V
39	пока	CONJ	ADV	CONJ	CONJ	ADV
40	шел	V	V	V	V	V
41	дорогой	N	ADV	A	A	A
42	домой	ADV	ADV	ADV	ADV	ADV
43	видимо	ADV	ADV	ADV	ADV	ADV
44	они	PRO	PRO	PRO	PRO	PRO
45	работают	V	V	V	V	V
46	на	PREP	PREP	PREP	PREP	PREP
47	заводе	N	N	N	N	N
48	у	PREP	PREP	PREP	PREP	PREP
49	одного	PRO	A	PRO	NUM	NUM
50	из	PREP	PREP	PREP	PREP	PREP
51	них	PRO	PRO	PRO	PRO	PRO
52	была	V	V	V	V	V
53	в	PREP	PREP	PREP	PREP	PREP
54	руках	N	N	N	N	N
55	пила	N	N	V	N	V
56	Потом	ADV	ADV	ADV	ADV	ADV
57	когда	CONJ	CONJ	CONJ	CONJ	CONJ
58	я	PRO	PRO	PRO	PRO	PRO
59	проходил	V	V	V	V	V
60	мимо	PREP	ADV	PREP	PREP	PREP
61	парка	N	N	N	N	N
62	я	PRO	PRO	PRO	PRO	PRO
63	увидел	V	V	V	V	V
64	что	CONJ	CONJ	CONJ	CONJ	CONJ
65	от	PREP	PREP	PREP	PREP	PREP
66	него	PRO	PRO	PRO	PRO	PRO
67	остались	V	V	V	V	V
68	только	ADV	PRCL	PRCL	PRCL	ADV
69	пни	N	V	N	N	N
70	а	CONJ	CONJ	CONJ	CONJ	CONJ
71	вокруг	PREP	ADV	PREP	PREP	PREP
72	них	PRO	PRO	PRO	PRO	PRO
73	жгут	V	V	V	V	V
74	траву	N	N	N	N	N
75	Видимо	ADV	ADV	ADV	ADV	ADV
76	это	PRCL	PRCL	PRO	PRCL	PRCL
77	они	PRO	PRO	PRO	PRO	PRO
78	спугнули	V	V	V	V	V
79	целый	A	A	A	A	A
80	рой	N	N	N	N	N
81	пчел	N	N	N	N	N
82	и	CONJ	CONJ	CONJ	CONJ	CONJ
83	он	PRO	PRO	PRO	PRO	PRO
84	полетел	V	V	V	V	V
85	за	PREP	PREP	PREP	PREP	PREP
86	мной	PRO	PRO	PRO	PRO	PRO
87	Было	V	V	V	V	V
88	страшно	ADV	ADV	ADV	A	A
89	как	CONJ	CONJ	ADV	CONJ	CONJ
90	будто	CONJ	CONJ	PRCL	PRCL	CONJ
91	бы	PRCL	PRCL	PRCL	PRCL	PRCL
92	к	PREP	PREP	PREP	PREP	PREP
93	виску	N	N	N	N	N
94	приставили	V	V	V	N	V
95	дуло	N	V	N	N	N
96	пистолета	N	N	N	N	N
97	В	PREP	PREP	PREP	PREP	PREP
98	общем	A	A	A	A	A
99	день	N	N	N	N	N
100	был	V	V	V	V	V
101	такой	PRO	A	PRO	PRO	PRO
102	неординарный	A	A	A	A	A
103	что	CONJ	CONJ	CONJ	CONJ	PRO
104	я	PRO	PRO	PRO	PRO	PRO
105	даже	PRCL	PRCL	PRCL	PRCL	PRCL
106	решил	V	V	V	V	V
107	стих	N	V	N	N	N
108	о	PREP	PREP	PREP	PREP	PREP
109	нем	PRO	A	PRO	PRO	PRO
110	сочинить	V	V	V	V	V
